"","Structure","Label","Organ_Masks","LabelValue","Mean","Min","Max","Variance","Count","Volume","Mass","x","y","z","t"
"35","external",0,0,0,13.050286295045,0,255,476.590480608303,20383168,20383168,0,0,0,0,NA
"50","left lung",1,1,1,117.629154727794,43,174,404.159978080506,13960,13960,1642103,-80.6840974212034,-76.080229226361,176.218624641834,NA
"22","right lung: cranial lobe",2,2,2,113.362092391304,51,166,287.879878214047,7360,7360,834345,-118.946875,-72.8763586956522,186.893206521739,NA
"12","right lung: middle lobe",3,2,3,106.126132096311,45,176,305.866765040435,4527,4527,480433,-124.308592887122,-86.9288712171416,180.371548486857,NA
"41","right lung: caudal lobe",4,2,4,114.279552715655,43,167,269.60636506634,10642,10642,1216163,-115.888836684834,-72.6273256906596,164.770531854914,NA
"27","right lung: accessory lobe",5,2,5,102.331750619323,48,131,205.938029476512,4844,4844,495695,-94.4483897605285,-85.1981833195706,173.469033856317,NA
"20","left kidney",6,3,6,101.122254231185,48,156,230.808209864403,5554,5554,561633,-83.4962189413036,-91.4259992797983,113.161145120634,NA
"6","right kidney",7,4,7,95.4682178384758,59,118,72.6918649346629,5931,5931,566222,-113.887202832575,-88.8281908615748,110.48878772551,NA
"11","stomach wall",8,5,8,108.576330749354,44,176,429.011823417574,9675,9675,1050476,-74.2977777777778,-94.4235658914729,129.352351421189,NA
"3","stomach lumen",9,5,9,52.9577922077922,29,96,95.8750312796101,4620,4620,244665,-71.2675324675325,-94.708658008658,128.674025974026,NA
"46","medial lobe of liver",10,6,10,148.856126403409,40,229,569.094041563287,80251,80251,11945853,-109.632964075214,-108.975688776464,154.909172471371,NA
"43","left lobe of liver ",11,6,11,155.89895637845,47,237,955.55743236699,43694,43694,6811849,-77.6885155856639,-103.351421247769,143.719435162723,NA
"47","right lobe of liver",12,6,12,146.214257751331,38,212,416.62852316983,25544,25544,3734897,-124.985436893204,-85.9710695270905,131.342193861572,NA
"39","caudate lobe of liver",13,6,13,128.829472025217,56,183,198.569704268466,12690,12690,1634846,-107.324980299448,-94.4868400315209,128.184003152088,NA
"2","left adrenal",14,7,14,132.447236180905,80,202,458.224885433458,796,796,105428,-84.2989949748744,-78.3140703517588,123.804020100503,NA
"25","right adrenal",15,8,15,132.625503355705,79,168,361.108219672367,745,745,98806,-110.032214765101,-77.2255033557047,122.429530201342,NA
"17","rectum/hindgut",16,9,16,97.8300970873786,69,142,144.487577216689,1854,1854,181377,-97.8899676375405,-131.091154261057,95.8349514563107,NA
"23","bladder",17,10,17,93.380093676815,36,234,736.684494720667,4270,4270,398733,-101.037236533958,-129.883840749415,117.547072599532,NA
"14","heart: left ventricle",18,11,18,124.633292633293,93,160,70.8913481223675,4914,4914,612448,-93.4700854700855,-102.192714692715,187.468864468864,NA
"15","heart: right ventricle",19,11,19,126.9693934335,79,166,85.3004824040313,3594,3594,456328,-104.561491374513,-103.144963828603,189.512520868114,NA
"4","left thymic rudiment",20,12,20,113.563008130081,76,129,111.440583413973,984,984,111746,-97.6676829268293,-88.1565040650407,212.952235772358,NA
"32","right thymic rudiment",21,13,21,114.64768683274,75,134,138.018240414751,1124,1124,128864,-107.524911032028,-88.6921708185053,214.096085409253,NA
"37","brain: third ventricle",22,14,22,72.3449111470113,43,105,119.526049264532,1238,1238,89563,-103.576736672052,-125.912762520194,283.705169628433,NA
"16","brain: mesencephalic vesicle",23,14,23,52.8768297036773,33,90,129.078752231346,2801,2801,148108,-100.392359871474,-90.0424848268476,307.43448768297,NA
"44","brain: fourth ventricle",24,14,24,67.9028571428571,36,112,177.601377057419,2275,2275,154479,-99.2008791208791,-82.9969230769231,282.911208791209,NA
"8","brain: cerebral aqueduct",25,14,25,78.6252873563218,40,105,133.935303776683,435,435,34202,-100.119540229885,-86.5149425287356,293.462068965517,NA
"34","brain: left lateral ventricle",26,14,26,93.8789584799437,44,130,435.020549900388,1421,1421,133402,-92.35960591133,-140.630541871921,295.902885292048,NA
"48","brain: right lateral ventricle",27,14,27,83.6462333825702,43,126,253.395081884886,1354,1354,113257,-119.679468242245,-136.545790251108,296.296898079764,NA
"21","brain: right olfactory bulb",28,14,28,90.1039603960396,59,117,82.3359347699481,1616,1616,145608,-116.730816831683,-158.750618811881,276.44801980198,NA
"13","brain: left olfacotory bulb",29,14,29,94.792166771952,59,126,112.502290055608,1583,1583,150056,-98.3291219204043,-160.253948199621,276.355022109918,NA
"49","brain: right thalamus ",30,14,30,90.3115994526282,57,137,87.1333761486783,12423,12423,1121941,-111.399259438139,-123.007969089592,296.283023424294,NA
"51","brain: left thalamus",31,14,31,95.2072202166065,62,141,81.2472445511928,11080,11080,1054896,-95.41940433213,-124.259566787004,295.739079422383,NA
"36","brain: right hypothamalus ",32,14,32,87.4198404529079,54,125,78.7197349893396,7772,7772,679427,-111.728383942357,-121.840066906845,275.021101389604,NA
"40","brain: left hypothalmus",33,14,33,89.4511853173592,60,133,56.2782414246719,7846,7846,701834,-95.9627835839918,-123.364899311751,274.626306398165,NA
"28","brain: right septal area",34,14,34,83.9525305410122,51,112,83.6695335731769,2865,2865,240524,-110.617102966841,-144.119720767888,278.674345549738,NA
"19","brain: left septal area",35,14,35,85.4283593170007,63,119,85.513432361003,2694,2694,230144,-100.821083890126,-144.840757238307,278.685968819599,NA
"7","brain: left neopallial cortex abd amygdala",36,14,36,90.2329116406786,59,123,125.807172544832,20394,20394,1840210,-128.280523683436,-131.930077473767,292.589830342258,NA
"29","brain: right neopallial cortex and amygdala",37,14,37,101.971592830572,53,135,123.779025014746,17742,17742,1809180,-82.713110134145,-135.595366925938,292.106414158494,NA
"30","brain: right striatum (caudate-putamen, globus pallidus)",38,14,38,91.5541483113069,66,122,127.403346107612,5448,5448,498787,-127.386380323054,-135.555616740088,287.231644640235,NA
"45","brain: left striatum  (caudate-putamen, globus pallidus)",39,14,39,103.506418369192,71,138,130.156694782621,5531,5531,572494,-83.0412222021334,-138.769661905623,285.850117519436,NA
"42","brain: right ventricular zone, hippocampus, medial ganglionic eminence, lateral ganglionic ",40,14,40,117.239097014322,78,148,86.5298970968356,12359,12359,1448958,-120.994821587507,-137.514523828789,298.299862448418,NA
